SEQUÊNCIA,DATAFATO,HORAFATO,GRUPOFATO,TIPOENQUADRAMENTO,TIPOFATO,MUNICIPIOFATO,LOCALFATO,BAIRRO,QUANTIDADEVÍTIMAS,IDADEVÍTIMA,SEXOVÍTIMA,CORVÍTIMA,data_nova,mes,dia,ano,mes_ano,data_tempo_num,hora,periodo,periodo1,mes_ano2
1445,01/01/2024,12:00:00,CRIMES,OUTROS CRIMES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-01,1,1,2024,768,1960-01-01T12:00:00Z,12,12,2,jan 2024
2226,01/01/2024,20:00:54,CRIMES,OUTROS FURTOS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,52,Masculino,Sem informação,2024-01-01,1,1,2024,768,1960-01-01T20:00:54Z,20,20,3,jan 2024
2615,02/01/2024,01:22:00,CRIMES,FURTO/ARROMBAMENTO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-02,1,2,2024,768,1960-01-01T01:22:00Z,1,1,9,jan 2024
2768,02/01/2024,07:00:00,CRIMES,OUTROS FURTOS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,35,Masculino,Sem informação,2024-01-02,1,2,2024,768,1960-01-01T07:00:00Z,7,7,1,jan 2024
2798,02/01/2024,08:00:00,CRIMES,DISPARO DE ARMA DE FOGO,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,0,NA,,,2024-01-02,1,2,2024,768,1960-01-01T08:00:00Z,8,8,1,jan 2024
2915,02/01/2024,08:23:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,35,Feminino,Sem informação,2024-01-02,1,2,2024,768,1960-01-01T08:23:00Z,8,8,1,jan 2024
3237,02/01/2024,10:20:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,29,Feminino,Branca,2024-01-02,1,2,2024,768,1960-01-01T10:20:00Z,10,10,1,jan 2024
3710,02/01/2024,14:49:14,CRIMES,APROPRIACAO INDEBITA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,29,Masculino,Sem informação,2024-01-02,1,2,2024,768,1960-01-01T14:49:14Z,14,14,2,jan 2024
3768,02/01/2024,15:00:00,CONTRAVENCOES,CRUELDADE CONTRA ANIMAIS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-02,1,2,2024,768,1960-01-01T15:00:00Z,15,15,2,jan 2024
4239,02/01/2024,19:05:00,CRIMES,DESCUMPRIMENTO DE MEDIDA PROTETIVA DE URGENCIA,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,27,Masculino,Parda,2024-01-02,1,2,2024,768,1960-01-01T19:05:00Z,19,19,3,jan 2024
4471,02/01/2024,21:30:00,CRIMES,ROUBO A PEDESTRE,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,19,Masculino,Indígena,2024-01-02,1,2,2024,768,1960-01-01T21:30:00Z,21,21,3,jan 2024
4659,03/01/2024,01:00:00,CRIMES,FURTO EM VEICULO - ESTEPE,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,0,NA,,,2024-01-03,1,3,2024,768,1960-01-01T01:00:00Z,1,1,9,jan 2024
4815,03/01/2024,07:00:00,CRIMES,FURTO DE FIOS E CABOS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-03,1,3,2024,768,1960-01-01T07:00:00Z,7,7,1,jan 2024
5287,03/01/2024,10:32:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,34,Masculino,Sem informação,2024-01-03,1,3,2024,768,1960-01-01T10:32:00Z,10,10,1,jan 2024
5829,03/01/2024,15:00:00,CRIMES,FURTO DE DOCUMENTO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,59,Masculino,Sem informação,2024-01-03,1,3,2024,768,1960-01-01T15:00:00Z,15,15,2,jan 2024
6398,03/01/2024,19:00:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,51,Feminino,Branca,2024-01-03,1,3,2024,768,1960-01-01T19:00:00Z,19,19,3,jan 2024
6502,03/01/2024,19:50:08,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,23,Masculino,Sem informação,2024-01-03,1,3,2024,768,1960-01-01T19:50:08Z,19,19,3,jan 2024
7054,04/01/2024,07:00:03,CRIMES,FURTO EM VEICULO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,46,Masculino,Sem informação,2024-01-04,1,4,2024,768,1960-01-01T07:00:03Z,7,7,1,jan 2024
7318,04/01/2024,09:35:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,80,Feminino,Sem informação,2024-01-04,1,4,2024,768,1960-01-01T09:35:00Z,9,9,1,jan 2024
7364,04/01/2024,10:00:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-04,1,4,2024,768,1960-01-01T10:00:00Z,10,10,1,jan 2024
7382,04/01/2024,10:00:00,CRIMES,ESTELIONATO  FRAUDE COM A UTILIZACAO DE ATIVOS VIRTUAIS VALORES MOBILIARIOS OU ATIVOS FINANCEIROS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,61,Masculino,Branca,2024-01-04,1,4,2024,768,1960-01-01T10:00:00Z,10,10,1,jan 2024
7446,04/01/2024,10:00:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,40,Masculino,Sem informação,2024-01-04,1,4,2024,768,1960-01-01T10:00:00Z,10,10,1,jan 2024
7500,04/01/2024,10:32:00,CRIMES,FURTO SIMPLES,Consumado,PORTO ALEGRE,HOSPITAIS/CLINICAS,MENINO DEUS,1,47,Masculino,Branca,2024-01-04,1,4,2024,768,1960-01-01T10:32:00Z,10,10,1,jan 2024
7546,04/01/2024,11:00:00,CRIMES,OUTRAS FRAUDES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,40,Feminino,Branca,2024-01-04,1,4,2024,768,1960-01-01T11:00:00Z,11,11,1,jan 2024
7625,04/01/2024,11:30:00,CRIMES,ESTELIONATO  FRAUDE ELETRONICA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,45,Feminino,Sem informação,2024-01-04,1,4,2024,768,1960-01-01T11:30:00Z,11,11,1,jan 2024
7794,04/01/2024,13:00:00,CRIMES,FURTO EM VEICULO,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,26,Masculino,Branca,2024-01-04,1,4,2024,768,1960-01-01T13:00:00Z,13,13,2,jan 2024
8705,04/01/2024,20:20:00,CRIMES,ROUBO COM LESOES,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,74,Feminino,Branca,2024-01-04,1,4,2024,768,1960-01-01T20:20:00Z,20,20,3,jan 2024
8893,04/01/2024,22:28:29,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,63,Masculino,Sem informação,2024-01-04,1,4,2024,768,1960-01-01T22:28:29Z,22,22,3,jan 2024
8991,05/01/2024,00:01:00,CRIMES,HOMOFOBIA TRANSFOBIA,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,47,Masculino,Branca,2024-01-05,1,5,2024,768,1960-01-01T00:01:00Z,0,0,9,jan 2024
9113,05/01/2024,02:30:00,CRIMES,FURTO/ARROMBAMENTO DE RESIDENCIA,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,79,Masculino,Branca,2024-01-05,1,5,2024,768,1960-01-01T02:30:00Z,2,2,9,jan 2024
9122,05/01/2024,03:00:00,CRIMES,OUTROS FURTOS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,41,Feminino,Sem informação,2024-01-05,1,5,2024,768,1960-01-01T03:00:00Z,3,3,9,jan 2024
9260,05/01/2024,07:38:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,63,Masculino,Sem informação,2024-01-05,1,5,2024,768,1960-01-01T07:38:00Z,7,7,1,jan 2024
9428,05/01/2024,09:00:00,CRIMES,ENTORPECENTES  POSSE,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,0,NA,,,2024-01-05,1,5,2024,768,1960-01-01T09:00:00Z,9,9,1,jan 2024
9538,05/01/2024,09:40:00,CRIMES,ROUBO DE CELULAR,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,30,Masculino,Branca,2024-01-05,1,5,2024,768,1960-01-01T09:40:00Z,9,9,1,jan 2024
10244,05/01/2024,14:06:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,63,Feminino,Branca,2024-01-05,1,5,2024,768,1960-01-01T14:06:00Z,14,14,2,jan 2024
10514,05/01/2024,16:00:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,52,Feminino,Branca,2024-01-05,1,5,2024,768,1960-01-01T16:00:00Z,16,16,2,jan 2024
11052,05/01/2024,20:00:37,CRIMES,ROUBO DE CELULAR,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,51,Feminino,Sem informação,2024-01-05,1,5,2024,768,1960-01-01T20:00:37Z,20,20,3,jan 2024
11084,05/01/2024,20:30:00,CRIMES,FURTO EM VEICULO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,25,Masculino,Sem informação,2024-01-05,1,5,2024,768,1960-01-01T20:30:00Z,20,20,3,jan 2024
11170,05/01/2024,21:11:00,CRIMES,ROUBO A PEDESTRE,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,29,Feminino,Branca,2024-01-05,1,5,2024,768,1960-01-01T21:11:00Z,21,21,3,jan 2024
11184,05/01/2024,21:23:52,CRIMES,DESCUMPRIMENTO DE MEDIDA PROTETIVA DE URGENCIA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-05,1,5,2024,768,1960-01-01T21:23:52Z,21,21,3,jan 2024
11231,05/01/2024,22:00:00,CRIMES,ROUBO A PEDESTRE,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,26,Feminino,Sem informação,2024-01-05,1,5,2024,768,1960-01-01T22:00:00Z,22,22,3,jan 2024
11474,06/01/2024,01:00:00,CRIMES,OUTROS CRIMES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Feminino,Sem informação,2024-01-06,1,6,2024,768,1960-01-01T01:00:00Z,1,1,9,jan 2024
11701,06/01/2024,05:30:00,CRIMES,LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,0,NA,,,2024-01-06,1,6,2024,768,1960-01-01T05:30:00Z,5,5,9,jan 2024
12091,06/01/2024,11:00:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,28,Feminino,Branca,2024-01-06,1,6,2024,768,1960-01-01T11:00:00Z,11,11,1,jan 2024
12670,06/01/2024,16:30:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,32,Masculino,Preta,2024-01-06,1,6,2024,768,1960-01-01T16:30:00Z,16,16,2,jan 2024
13465,06/01/2024,23:30:47,CRIMES,ROUBO A PEDESTRE,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,34,Masculino,Sem informação,2024-01-06,1,6,2024,768,1960-01-01T23:30:47Z,23,23,3,jan 2024
13846,07/01/2024,05:23:00,CRIMES,FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,Consumado,PORTO ALEGRE,ESTABELECIMENTO COMERCIAL,MENINO DEUS,1,37,Feminino,Preta,2024-01-07,1,7,2024,768,1960-01-01T05:23:00Z,5,5,9,jan 2024
13924,07/01/2024,07:34:00,CRIMES,FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,0,NA,,,2024-01-07,1,7,2024,768,1960-01-01T07:34:00Z,7,7,1,jan 2024
14769,07/01/2024,17:30:02,CRIMES,FURTO QUALIFICADO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,29,Masculino,Sem informação,2024-01-07,1,7,2024,768,1960-01-01T17:30:02Z,17,17,2,jan 2024
14951,07/01/2024,19:00:00,CRIMES,OUTROS CRIMES CONTRA O IDOSO,Consumado,PORTO ALEGRE,HOSPITAIS/CLINICAS,MENINO DEUS,1,77,Feminino,Branca,2024-01-07,1,7,2024,768,1960-01-01T19:00:00Z,19,19,3,jan 2024
15152,07/01/2024,20:30:00,CRIMES,ROUBO A PEDESTRE,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,41,Feminino,Branca,2024-01-07,1,7,2024,768,1960-01-01T20:30:00Z,20,20,3,jan 2024
15360,07/01/2024,22:08:00,CRIMES,ROUBO DE CELULAR,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,41,Feminino,Branca,2024-01-07,1,7,2024,768,1960-01-01T22:08:00Z,22,22,3,jan 2024
15596,08/01/2024,01:56:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,29,Masculino,Sem informação,2024-01-08,1,8,2024,768,1960-01-01T01:56:00Z,1,1,9,jan 2024
15606,08/01/2024,02:00:00,CRIMES,PERSEGUICAO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,74,Masculino,Branca,2024-01-08,1,8,2024,768,1960-01-01T02:00:00Z,2,2,9,jan 2024
15671,08/01/2024,04:00:00,CRIMES,FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,Consumado,PORTO ALEGRE,ESTABELECIMENTO COMERCIAL,MENINO DEUS,1,50,Feminino,Branca,2024-01-08,1,8,2024,768,1960-01-01T04:00:00Z,4,4,9,jan 2024
15748,08/01/2024,07:00:00,CRIMES,FURTO DE FIOS E CABOS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-08,1,8,2024,768,1960-01-01T07:00:00Z,7,7,1,jan 2024
15788,08/01/2024,07:30:00,CRIMES,FURTO QUALIFICADO,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,69,Feminino,Branca,2024-01-08,1,8,2024,768,1960-01-01T07:30:00Z,7,7,1,jan 2024
15877,08/01/2024,08:00:00,CRIMES,OUTROS CRIMES,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,46,Feminino,Branca,2024-01-08,1,8,2024,768,1960-01-01T08:00:00Z,8,8,1,jan 2024
16230,08/01/2024,10:00:00,CRIMES,OUTROS CRIMES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,2,42,Masculino,Sem informação,2024-01-08,1,8,2024,768,1960-01-01T10:00:00Z,10,10,1,jan 2024
16884,08/01/2024,14:43:40,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,44,Feminino,Sem informação,2024-01-08,1,8,2024,768,1960-01-01T14:43:40Z,14,14,2,jan 2024
17139,08/01/2024,16:15:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-01-08,1,8,2024,768,1960-01-01T16:15:00Z,16,16,2,jan 2024
17936,09/01/2024,00:01:00,CRIMES,OUTROS ROUBOS,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,61,Masculino,Branca,2024-01-09,1,9,2024,768,1960-01-01T00:01:00Z,0,0,9,jan 2024
18041,09/01/2024,02:56:00,CRIMES,FURTO/ARROMBAMENTO,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,55,Masculino,Branca,2024-01-09,1,9,2024,768,1960-01-01T02:56:00Z,2,2,9,jan 2024
18176,09/01/2024,07:59:00,CRIMES,OUTROS FURTOS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-09,1,9,2024,768,1960-01-01T07:59:00Z,7,7,1,jan 2024
18878,09/01/2024,12:30:00,CONTRAVENCOES,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,43,Masculino,Sem informação,2024-01-09,1,9,2024,768,1960-01-01T12:30:00Z,12,12,2,jan 2024
19013,09/01/2024,13:43:00,CRIMES,FURTO DE CELULAR,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,35,Feminino,Sem informação,2024-01-09,1,9,2024,768,1960-01-01T13:43:00Z,13,13,2,jan 2024
19070,09/01/2024,14:00:00,CRIMES,ROUBO A PEDESTRE,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,34,Feminino,Branca,2024-01-09,1,9,2024,768,1960-01-01T14:00:00Z,14,14,2,jan 2024
19222,09/01/2024,15:00:00,CRIMES,ESTELIONATO  FRAUDE COM A UTILIZACAO DE ATIVOS VIRTUAIS VALORES MOBILIARIOS OU ATIVOS FINANCEIROS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,67,Feminino,Branca,2024-01-09,1,9,2024,768,1960-01-01T15:00:00Z,15,15,2,jan 2024
19436,09/01/2024,16:30:00,CRIMES,FURTO DE DOCUMENTO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,59,Feminino,Sem informação,2024-01-09,1,9,2024,768,1960-01-01T16:30:00Z,16,16,2,jan 2024
19653,09/01/2024,18:00:00,CRIMES,FURTO SIMPLES EM RESIDENCIA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,77,Masculino,Branca,2024-01-09,1,9,2024,768,1960-01-01T18:00:00Z,18,18,3,jan 2024
20055,09/01/2024,21:30:57,CRIMES,ROUBO DE CELULAR,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,29,Feminino,Sem informação,2024-01-09,1,9,2024,768,1960-01-01T21:30:57Z,21,21,3,jan 2024
20068,09/01/2024,21:56:00,CRIMES,FURTO EM VEICULO,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,30,Feminino,Branca,2024-01-09,1,9,2024,768,1960-01-01T21:56:00Z,21,21,3,jan 2024
20304,10/01/2024,02:00:00,CONTRAVENCOES,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,33,Feminino,Sem informação,2024-01-10,1,10,2024,768,1960-01-01T02:00:00Z,2,2,9,jan 2024
20327,10/01/2024,02:30:00,CRIMES,FURTO QUALIFICADO,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,45,Masculino,Preta,2024-01-10,1,10,2024,768,1960-01-01T02:30:00Z,2,2,9,jan 2024
20348,10/01/2024,03:00:00,CRIMES,FURTO DE CELULAR,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,53,Masculino,Branca,2024-01-10,1,10,2024,768,1960-01-01T03:00:00Z,3,3,9,jan 2024
21250,10/01/2024,12:00:00,CRIMES,IMPORTUNACAO SEXUAL,Consumado,PORTO ALEGRE,INTERIOR COLETIVOS,MENINO DEUS,1,17,Feminino,Preta,2024-01-10,1,10,2024,768,1960-01-01T12:00:00Z,12,12,2,jan 2024
21698,10/01/2024,15:00:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-10,1,10,2024,768,1960-01-01T15:00:00Z,15,15,2,jan 2024
22104,10/01/2024,17:45:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,76,Feminino,Sem informação,2024-01-10,1,10,2024,768,1960-01-01T17:45:00Z,17,17,2,jan 2024
23135,11/01/2024,09:00:00,CRIMES,OUTROS CRIMES,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,49,Masculino,Preta,2024-01-11,1,11,2024,768,1960-01-01T09:00:00Z,9,9,1,jan 2024
23224,11/01/2024,09:30:28,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,29,Feminino,Sem informação,2024-01-11,1,11,2024,768,1960-01-01T09:30:28Z,9,9,1,jan 2024
23474,11/01/2024,11:05:00,CRIMES,OUTROS CRIMES CONTRA O IDOSO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,62,Feminino,Branca,2024-01-11,1,11,2024,768,1960-01-01T11:05:00Z,11,11,1,jan 2024
23520,11/01/2024,11:40:00,CRIMES,FURTO DE CELULAR,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,42,Feminino,Sem informação,2024-01-11,1,11,2024,768,1960-01-01T11:40:00Z,11,11,1,jan 2024
23735,11/01/2024,13:30:00,CONTRAVENCOES,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,54,Feminino,Branca,2024-01-11,1,11,2024,768,1960-01-01T13:30:00Z,13,13,2,jan 2024
23998,11/01/2024,15:00:00,CRIMES,OUTRAS FRAUDES,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,28,Masculino,Branca,2024-01-11,1,11,2024,768,1960-01-01T15:00:00Z,15,15,2,jan 2024
24997,12/01/2024,01:00:00,CRIMES,LESAO CORPORAL,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,38,Feminino,Branca,2024-01-12,1,12,2024,768,1960-01-01T01:00:00Z,1,1,9,jan 2024
25079,12/01/2024,03:00:00,CRIMES,FURTO/ARROMBAMENTO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-12,1,12,2024,768,1960-01-01T03:00:00Z,3,3,9,jan 2024
25249,12/01/2024,08:00:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,35,Masculino,Sem informação,2024-01-12,1,12,2024,768,1960-01-01T08:00:00Z,8,8,1,jan 2024
26718,12/01/2024,18:00:00,CRIMES,FURTO EM VEICULO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,23,Masculino,Sem informação,2024-01-12,1,12,2024,768,1960-01-01T18:00:00Z,18,18,3,jan 2024
26913,12/01/2024,19:30:00,CRIMES,OUTRAS FRAUDES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,43,Masculino,Sem informação,2024-01-12,1,12,2024,768,1960-01-01T19:30:00Z,19,19,3,jan 2024
27064,12/01/2024,20:40:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,2,52,Feminino,Branca,2024-01-12,1,12,2024,768,1960-01-01T20:40:00Z,20,20,3,jan 2024
27104,12/01/2024,21:00:00,CRIMES,FURTO DE CELULAR,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,45,Feminino,Branca,2024-01-12,1,12,2024,768,1960-01-01T21:00:00Z,21,21,3,jan 2024
27156,12/01/2024,21:30:00,CRIMES,OUTROS FURTOS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-12,1,12,2024,768,1960-01-01T21:30:00Z,21,21,3,jan 2024
27246,12/01/2024,22:30:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,29,Feminino,Sem informação,2024-01-12,1,12,2024,768,1960-01-01T22:30:00Z,22,22,3,jan 2024
27301,12/01/2024,23:00:00,CRIMES,FURTO DE VEICULO,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,0,NA,,,2024-01-12,1,12,2024,768,1960-01-01T23:00:00Z,23,23,3,jan 2024
27544,13/01/2024,03:00:00,CRIMES,FURTO QUALIFICADO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,25,Masculino,Sem informação,2024-01-13,1,13,2024,768,1960-01-01T03:00:00Z,3,3,9,jan 2024
27708,13/01/2024,07:00:00,CRIMES,OUTROS FURTOS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-13,1,13,2024,768,1960-01-01T07:00:00Z,7,7,1,jan 2024
28819,13/01/2024,19:04:00,CRIMES,FURTO SIMPLES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,22,Masculino,Sem informação,2024-01-13,1,13,2024,768,1960-01-01T19:04:00Z,19,19,3,jan 2024
29193,13/01/2024,22:35:00,CRIMES,LESAO CORPORAL,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,42,Feminino,Branca,2024-01-13,1,13,2024,768,1960-01-01T22:35:00Z,22,22,3,jan 2024
29375,14/01/2024,00:30:00,CRIMES,FURTO SIMPLES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-14,1,14,2024,768,1960-01-01T00:30:00Z,0,0,9,jan 2024
29390,14/01/2024,00:39:00,CRIMES,LESAO CORPORAL,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,39,Feminino,Branca,2024-01-14,1,14,2024,768,1960-01-01T00:39:00Z,0,0,9,jan 2024
29588,14/01/2024,03:00:00,CRIMES,FURTO/ARROMBAMENTO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-14,1,14,2024,768,1960-01-01T03:00:00Z,3,3,9,jan 2024
29721,14/01/2024,07:00:00,CRIMES,OUTRAS FRAUDES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,39,Masculino,Sem informação,2024-01-14,1,14,2024,768,1960-01-01T07:00:00Z,7,7,1,jan 2024
30245,14/01/2024,14:40:00,CRIMES,FURTO DE CELULAR,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,22,Feminino,Sem informação,2024-01-14,1,14,2024,768,1960-01-01T14:40:00Z,14,14,2,jan 2024
30532,14/01/2024,17:30:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,ESTABELECIMENTO COMERCIAL,MENINO DEUS,1,33,Feminino,Branca,2024-01-14,1,14,2024,768,1960-01-01T17:30:00Z,17,17,2,jan 2024
30692,14/01/2024,18:42:58,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,44,Masculino,Sem informação,2024-01-14,1,14,2024,768,1960-01-01T18:42:58Z,18,18,3,jan 2024
30985,14/01/2024,21:30:00,CRIMES,LESAO CORPORAL,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,35,Masculino,Branca,2024-01-14,1,14,2024,768,1960-01-01T21:30:00Z,21,21,3,jan 2024
31804,15/01/2024,10:00:00,CRIMES,APROPRIACAO INDEBITA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-15,1,15,2024,768,1960-01-01T10:00:00Z,10,10,1,jan 2024
32314,15/01/2024,13:00:00,CRIMES,FURTO DE CELULAR,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,50,Feminino,Branca,2024-01-15,1,15,2024,768,1960-01-01T13:00:00Z,13,13,2,jan 2024
32810,15/01/2024,16:00:00,CRIMES,FURTO EM VEICULO,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,0,NA,,,2024-01-15,1,15,2024,768,1960-01-01T16:00:00Z,16,16,2,jan 2024
