TIPOENQUADRAMENTO,mes_ano2,total
FUGA DE LOCAL DE ACIDENTE - ART. 305,fev 2024,5
FUGA DE LOCAL DE ACIDENTE - ART. 305,mar 2024,5
FUGA DE LOCAL DE ACIDENTE - ART. 305,abr 2024,4
FUGA DE LOCAL DE ACIDENTE - ART. 305,mai 2024,2
FUGA DE LOCAL DE ACIDENTE - ART. 305,jun 2024,1
FUGA DE LOCAL DE ACIDENTE - ART. 305,jul 2024,2
FUGA DE LOCAL DE ACIDENTE - ART. 305,ago 2024,5
FUGA DE LOCAL DE ACIDENTE - ART. 305,set 2024,2
FUGA DE LOCAL DE ACIDENTE - ART. 305,out 2024,2
FUGA DE LOCAL DE ACIDENTE - ART. 305,nov 2024,2
FUGA DE LOCAL DE ACIDENTE - ART. 305,dez 2024,3
FUGA DE LOCAL DE ACIDENTE - ART. 305,jan 2025,2
FUGA DE LOCAL DE ACIDENTE - ART. 305,fev 2025,4
FUGA DE LOCAL DE ACIDENTE - ART. 305,mar 2025,3
FUGA DE LOCAL DE ACIDENTE - ART. 305,abr 2025,6
FUGA DE LOCAL DE ACIDENTE - ART. 305,mai 2025,4
FUGA DE LOCAL DE ACIDENTE - ART. 305,jun 2025,4
FUGA DE LOCAL DE ACIDENTE - ART. 305,jul 2025,3
FUGA DE LOCAL DE ACIDENTE - ART. 305,ago 2025,2
FUGA DE LOCAL DE ACIDENTE - ART. 305,set 2025,2
FUGA DE LOCAL DE ACIDENTE - ART. 305,out 2025,5
FUGA DE LOCAL DE ACIDENTE - ART. 305,nov 2025,4
FUGA DE LOCAL DE ACIDENTE - ART. 305,fev 2026,2
FUGA DE LOCAL DE ACIDENTE - ART. 305,mar 2026,2
FUGA DE LOCAL DE ACIDENTE - ART. 305,abr 2026,2
FUGA DE LOCAL DE ACIDENTE - ART. 305,mai 2026,1
FURTO DE ARMA,mar 2024,1
FURTO DE ARMA,jul 2024,1
FURTO DE ARMA,mai 2025,1
FURTO DE ARMA,out 2025,1
FURTO DE CELULAR,jan 2024,23
FURTO DE CELULAR,fev 2024,15
FURTO DE CELULAR,mar 2024,6
FURTO DE CELULAR,abr 2024,16
FURTO DE CELULAR,mai 2024,7
FURTO DE CELULAR,jun 2024,6
FURTO DE CELULAR,jul 2024,5
FURTO DE CELULAR,ago 2024,9
FURTO DE CELULAR,set 2024,8
FURTO DE CELULAR,out 2024,7
FURTO DE CELULAR,nov 2024,8
FURTO DE CELULAR,dez 2024,7
FURTO DE CELULAR,jan 2025,15
FURTO DE CELULAR,fev 2025,11
FURTO DE CELULAR,mar 2025,10
FURTO DE CELULAR,abr 2025,8
FURTO DE CELULAR,mai 2025,10
FURTO DE CELULAR,jun 2025,3
FURTO DE CELULAR,jul 2025,9
FURTO DE CELULAR,ago 2025,7
FURTO DE CELULAR,set 2025,4
FURTO DE CELULAR,out 2025,5
FURTO DE CELULAR,nov 2025,7
FURTO DE CELULAR,dez 2025,4
FURTO DE CELULAR,jan 2026,5
FURTO DE CELULAR,fev 2026,4
FURTO DE CELULAR,mar 2026,9
FURTO DE CELULAR,abr 2026,9
FURTO DE CELULAR,mai 2026,7
FURTO DE COISA COMUM ART 156  SUBTRAIR O CONDOMINO COHERDEIRO OU SOCIO PARA SI OU PARA OUTREM A QUEM LEGITIMAMENTE A DETEM A COISA COMUM,jan 2024,1
FURTO DE COISA COMUM ART 156  SUBTRAIR O CONDOMINO COHERDEIRO OU SOCIO PARA SI OU PARA OUTREM A QUEM LEGITIMAMENTE A DETEM A COISA COMUM,abr 2025,1
FURTO DE DOCUMENTO,jan 2024,3
FURTO DE DOCUMENTO,fev 2024,4
FURTO DE DOCUMENTO,mar 2024,2
FURTO DE DOCUMENTO,abr 2024,3
FURTO DE DOCUMENTO,mai 2024,2
FURTO DE DOCUMENTO,jun 2024,2
FURTO DE DOCUMENTO,jul 2024,2
FURTO DE DOCUMENTO,ago 2024,3
FURTO DE DOCUMENTO,set 2024,4
FURTO DE DOCUMENTO,out 2024,4
FURTO DE DOCUMENTO,nov 2024,5
FURTO DE DOCUMENTO,dez 2024,3
FURTO DE DOCUMENTO,jan 2025,7
FURTO DE DOCUMENTO,fev 2025,8
FURTO DE DOCUMENTO,mar 2025,6
FURTO DE DOCUMENTO,abr 2025,5
FURTO DE DOCUMENTO,mai 2025,8
FURTO DE DOCUMENTO,jun 2025,4
FURTO DE DOCUMENTO,jul 2025,2
FURTO DE DOCUMENTO,ago 2025,3
FURTO DE DOCUMENTO,set 2025,4
FURTO DE DOCUMENTO,out 2025,3
FURTO DE DOCUMENTO,nov 2025,4
FURTO DE DOCUMENTO,dez 2025,3
FURTO DE DOCUMENTO,jan 2026,1
FURTO DE DOCUMENTO,fev 2026,6
FURTO DE DOCUMENTO,abr 2026,3
FURTO DE DOCUMENTO,mai 2026,2
FURTO DE FIOS E CABOS,jan 2024,4
FURTO DE FIOS E CABOS,fev 2024,1
FURTO DE FIOS E CABOS,mar 2024,2
FURTO DE FIOS E CABOS,abr 2024,1
FURTO DE FIOS E CABOS,mai 2024,1
FURTO DE FIOS E CABOS,jun 2024,2
FURTO DE FIOS E CABOS,jul 2024,6
FURTO DE FIOS E CABOS,ago 2024,1
FURTO DE FIOS E CABOS,set 2024,3
FURTO DE FIOS E CABOS,nov 2024,3
FURTO DE FIOS E CABOS,jan 2025,2
FURTO DE FIOS E CABOS,mar 2025,5
FURTO DE FIOS E CABOS,abr 2025,6
FURTO DE FIOS E CABOS,mai 2025,1
FURTO DE FIOS E CABOS,jun 2025,1
FURTO DE FIOS E CABOS,jul 2025,2
FURTO DE FIOS E CABOS,ago 2025,1
FURTO DE FIOS E CABOS,set 2025,7
FURTO DE FIOS E CABOS,out 2025,4
FURTO DE FIOS E CABOS,nov 2025,12
FURTO DE FIOS E CABOS,dez 2025,11
FURTO DE FIOS E CABOS,jan 2026,2
FURTO DE FIOS E CABOS,fev 2026,5
FURTO DE FIOS E CABOS,mar 2026,2
FURTO DE FIOS E CABOS,abr 2026,5
FURTO DE FIOS E CABOS,mai 2026,8
FURTO DE VEICULO,jan 2024,1
FURTO DE VEICULO,fev 2024,3
FURTO DE VEICULO,mar 2024,5
FURTO DE VEICULO,abr 2024,1
FURTO DE VEICULO,mai 2024,3
FURTO DE VEICULO,jun 2024,3
FURTO DE VEICULO,jul 2024,1
FURTO DE VEICULO,ago 2024,1
FURTO DE VEICULO,set 2024,2
FURTO DE VEICULO,out 2024,3
FURTO DE VEICULO,nov 2024,1
FURTO DE VEICULO,dez 2024,3
FURTO DE VEICULO,jan 2025,2
FURTO DE VEICULO,fev 2025,1
FURTO DE VEICULO,mar 2025,2
FURTO DE VEICULO,abr 2025,1
FURTO DE VEICULO,mai 2025,5
FURTO DE VEICULO,jun 2025,1
FURTO DE VEICULO,jul 2025,7
FURTO DE VEICULO,ago 2025,5
FURTO DE VEICULO,set 2025,4
FURTO DE VEICULO,out 2025,3
FURTO DE VEICULO,nov 2025,5
FURTO DE VEICULO,dez 2025,3
FURTO DE VEICULO,jan 2026,1
FURTO DE VEICULO,fev 2026,1
FURTO DE VEICULO,mar 2026,4
FURTO DE VEICULO,abr 2026,3
FURTO DE VEICULO,mai 2026,2
FURTO EM VEICULO,jan 2024,9
FURTO EM VEICULO,fev 2024,5
FURTO EM VEICULO,mar 2024,3
FURTO EM VEICULO,abr 2024,1
FURTO EM VEICULO,mai 2024,2
FURTO EM VEICULO,jun 2024,3
FURTO EM VEICULO,jul 2024,8
FURTO EM VEICULO,ago 2024,2
FURTO EM VEICULO,set 2024,5
FURTO EM VEICULO,out 2024,9
FURTO EM VEICULO,nov 2024,5
FURTO EM VEICULO,dez 2024,8
FURTO EM VEICULO,jan 2025,9
FURTO EM VEICULO,fev 2025,4
FURTO EM VEICULO,mar 2025,5
FURTO EM VEICULO,abr 2025,14
FURTO EM VEICULO,mai 2025,13
FURTO EM VEICULO,jun 2025,7
FURTO EM VEICULO,jul 2025,8
FURTO EM VEICULO,ago 2025,7
FURTO EM VEICULO,set 2025,11
FURTO EM VEICULO,out 2025,3
FURTO EM VEICULO,nov 2025,13
FURTO EM VEICULO,dez 2025,5
FURTO EM VEICULO,jan 2026,5
FURTO EM VEICULO,fev 2026,1
FURTO EM VEICULO,mar 2026,2
FURTO EM VEICULO,abr 2026,7
FURTO EM VEICULO,mai 2026,9
FURTO EM VEICULO - ESTEPE,jan 2024,4
FURTO EM VEICULO - ESTEPE,fev 2024,6
FURTO EM VEICULO - ESTEPE,mar 2024,3
FURTO EM VEICULO - ESTEPE,abr 2024,2
FURTO EM VEICULO - ESTEPE,jun 2024,1
FURTO EM VEICULO - ESTEPE,jul 2024,1
FURTO EM VEICULO - ESTEPE,ago 2024,2
FURTO EM VEICULO - ESTEPE,set 2024,2
FURTO EM VEICULO - ESTEPE,out 2024,2
FURTO EM VEICULO - ESTEPE,nov 2024,9
FURTO EM VEICULO - ESTEPE,dez 2024,5
FURTO EM VEICULO - ESTEPE,jan 2025,9
FURTO EM VEICULO - ESTEPE,fev 2025,5
FURTO EM VEICULO - ESTEPE,mar 2025,7
FURTO EM VEICULO - ESTEPE,abr 2025,11
FURTO EM VEICULO - ESTEPE,mai 2025,13
FURTO EM VEICULO - ESTEPE,jun 2025,7
FURTO EM VEICULO - ESTEPE,jul 2025,5
FURTO EM VEICULO - ESTEPE,ago 2025,9
FURTO EM VEICULO - ESTEPE,set 2025,4
FURTO EM VEICULO - ESTEPE,out 2025,10
FURTO EM VEICULO - ESTEPE,nov 2025,4
FURTO EM VEICULO - ESTEPE,dez 2025,9
FURTO EM VEICULO - ESTEPE,jan 2026,3
FURTO EM VEICULO - ESTEPE,fev 2026,2
FURTO EM VEICULO - ESTEPE,mar 2026,3
FURTO EM VEICULO - ESTEPE,abr 2026,2
FURTO EM VEICULO - ESTEPE,mai 2026,5
FURTO QUALIFICADO,jan 2024,10
FURTO QUALIFICADO,fev 2024,8
FURTO QUALIFICADO,mar 2024,11
FURTO QUALIFICADO,abr 2024,12
FURTO QUALIFICADO,mai 2024,5
FURTO QUALIFICADO,jun 2024,1
FURTO QUALIFICADO,jul 2024,8
FURTO QUALIFICADO,ago 2024,6
FURTO QUALIFICADO,set 2024,9
FURTO QUALIFICADO,out 2024,12
FURTO QUALIFICADO,nov 2024,9
FURTO QUALIFICADO,dez 2024,6
FURTO QUALIFICADO,jan 2025,10
FURTO QUALIFICADO,fev 2025,6
FURTO QUALIFICADO,mar 2025,4
FURTO QUALIFICADO,abr 2025,5
FURTO QUALIFICADO,mai 2025,8
FURTO QUALIFICADO,jun 2025,5
FURTO QUALIFICADO,jul 2025,3
FURTO QUALIFICADO,ago 2025,5
FURTO QUALIFICADO,set 2025,11
FURTO QUALIFICADO,out 2025,4
FURTO QUALIFICADO,nov 2025,2
FURTO QUALIFICADO,dez 2025,6
FURTO QUALIFICADO,jan 2026,5
FURTO QUALIFICADO,fev 2026,3
FURTO QUALIFICADO,mar 2026,7
FURTO QUALIFICADO,abr 2026,7
FURTO QUALIFICADO,mai 2026,2
FURTO SIMPLES,jan 2024,13
FURTO SIMPLES,fev 2024,9
FURTO SIMPLES,mar 2024,19
FURTO SIMPLES,abr 2024,12
FURTO SIMPLES,mai 2024,7
FURTO SIMPLES,jun 2024,10
FURTO SIMPLES,jul 2024,3
FURTO SIMPLES,ago 2024,12
FURTO SIMPLES,set 2024,14
FURTO SIMPLES,out 2024,16
FURTO SIMPLES,nov 2024,15
FURTO SIMPLES,dez 2024,9
FURTO SIMPLES,jan 2025,8
FURTO SIMPLES,fev 2025,7
FURTO SIMPLES,mar 2025,10
FURTO SIMPLES,abr 2025,8
FURTO SIMPLES,mai 2025,9
FURTO SIMPLES,jun 2025,10
FURTO SIMPLES,jul 2025,8
FURTO SIMPLES,ago 2025,11
FURTO SIMPLES,set 2025,8
FURTO SIMPLES,out 2025,5
FURTO SIMPLES,nov 2025,7
FURTO SIMPLES,dez 2025,10
FURTO SIMPLES,jan 2026,5
FURTO SIMPLES,fev 2026,4
FURTO SIMPLES,mar 2026,14
FURTO SIMPLES,abr 2026,4
FURTO SIMPLES,mai 2026,6
FURTO SIMPLES EM RESIDENCIA,jan 2024,2
FURTO SIMPLES EM RESIDENCIA,fev 2024,3
FURTO SIMPLES EM RESIDENCIA,abr 2024,1
FURTO SIMPLES EM RESIDENCIA,jun 2024,2
FURTO SIMPLES EM RESIDENCIA,ago 2024,2
FURTO SIMPLES EM RESIDENCIA,dez 2024,1
FURTO SIMPLES EM RESIDENCIA,jan 2025,1
FURTO SIMPLES EM RESIDENCIA,mar 2025,1
FURTO SIMPLES EM RESIDENCIA,jul 2025,1
FURTO SIMPLES EM RESIDENCIA,set 2025,1
FURTO SIMPLES EM RESIDENCIA,out 2025,1
FURTO SIMPLES EM RESIDENCIA,jan 2026,1
FURTO/ARROMBAMENTO,jan 2024,4
FURTO/ARROMBAMENTO,mar 2024,3
FURTO/ARROMBAMENTO,mai 2024,3
FURTO/ARROMBAMENTO,jun 2024,1
FURTO/ARROMBAMENTO,jul 2024,2
FURTO/ARROMBAMENTO,set 2024,5
FURTO/ARROMBAMENTO,out 2024,2
FURTO/ARROMBAMENTO,nov 2024,1
FURTO/ARROMBAMENTO,dez 2024,1
FURTO/ARROMBAMENTO,fev 2025,1
FURTO/ARROMBAMENTO,mar 2025,2
FURTO/ARROMBAMENTO,abr 2025,2
FURTO/ARROMBAMENTO,mai 2025,1
FURTO/ARROMBAMENTO,jul 2025,1
FURTO/ARROMBAMENTO,ago 2025,1
FURTO/ARROMBAMENTO,set 2025,1
FURTO/ARROMBAMENTO,out 2025,2
FURTO/ARROMBAMENTO,nov 2025,2
FURTO/ARROMBAMENTO,jan 2026,2
FURTO/ARROMBAMENTO,mar 2026,3
FURTO/ARROMBAMENTO,abr 2026,2
FURTO/ARROMBAMENTO,mai 2026,3
FURTO/ARROMBAMENTO A ESTABELECIMENTO DE ENSINO,mar 2024,1
FURTO/ARROMBAMENTO A ESTABELECIMENTO DE ENSINO,jun 2024,5
FURTO/ARROMBAMENTO A ESTABELECIMENTO DE ENSINO,out 2025,1
FURTO/ARROMBAMENTO A ESTABELECIMENTO DE ENSINO,nov 2025,1
FURTO/ARROMBAMENTO DE RESIDENCIA,jan 2024,3
FURTO/ARROMBAMENTO DE RESIDENCIA,fev 2024,2
FURTO/ARROMBAMENTO DE RESIDENCIA,mar 2024,3
FURTO/ARROMBAMENTO DE RESIDENCIA,abr 2024,3
FURTO/ARROMBAMENTO DE RESIDENCIA,mai 2024,5
FURTO/ARROMBAMENTO DE RESIDENCIA,jun 2024,4
FURTO/ARROMBAMENTO DE RESIDENCIA,jul 2024,2
FURTO/ARROMBAMENTO DE RESIDENCIA,ago 2024,3
FURTO/ARROMBAMENTO DE RESIDENCIA,set 2024,2
FURTO/ARROMBAMENTO DE RESIDENCIA,out 2024,3
FURTO/ARROMBAMENTO DE RESIDENCIA,dez 2024,1
FURTO/ARROMBAMENTO DE RESIDENCIA,jan 2025,1
FURTO/ARROMBAMENTO DE RESIDENCIA,fev 2025,4
FURTO/ARROMBAMENTO DE RESIDENCIA,abr 2025,1
FURTO/ARROMBAMENTO DE RESIDENCIA,ago 2025,3
FURTO/ARROMBAMENTO DE RESIDENCIA,nov 2025,3
FURTO/ARROMBAMENTO DE RESIDENCIA,dez 2025,1
FURTO/ARROMBAMENTO DE RESIDENCIA,jan 2026,2
FURTO/ARROMBAMENTO DE RESIDENCIA,fev 2026,2
FURTO/ARROMBAMENTO DE RESIDENCIA,abr 2026,2
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,jan 2024,5
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,mar 2024,5
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,abr 2024,5
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,mai 2024,2
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,jun 2024,3
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,jul 2024,2
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,ago 2024,3
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,set 2024,3
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,out 2024,1
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,nov 2024,1
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,dez 2024,7
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,mar 2025,2
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,abr 2025,1
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,mai 2025,3
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,jun 2025,2
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,ago 2025,1
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,set 2025,4
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,out 2025,4
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,nov 2025,2
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,dez 2025,2
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,jan 2026,2
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,fev 2026,1
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,mar 2026,2
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,abr 2026,2
FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,mai 2026,1
HOMICIDIO CULPOSO DIRECAO VEIC AUTOMOTOR,dez 2025,1
HOMOFOBIA TRANSFOBIA,jan 2024,1
HOMOFOBIA TRANSFOBIA,mai 2024,1
HOMOFOBIA TRANSFOBIA,jul 2024,2
HOMOFOBIA TRANSFOBIA,set 2024,1
HOMOFOBIA TRANSFOBIA,nov 2024,1
HOMOFOBIA TRANSFOBIA,dez 2024,1
HOMOFOBIA TRANSFOBIA,jan 2025,1
HOMOFOBIA TRANSFOBIA,fev 2025,1
HOMOFOBIA TRANSFOBIA,abr 2025,1
HOMOFOBIA TRANSFOBIA,set 2025,1
HOMOFOBIA TRANSFOBIA,dez 2025,1
IMPORTUNACAO SEXUAL,jan 2024,2
IMPORTUNACAO SEXUAL,fev 2024,2
IMPORTUNACAO SEXUAL,mar 2024,1
IMPORTUNACAO SEXUAL,abr 2024,2
IMPORTUNACAO SEXUAL,jun 2024,1
IMPORTUNACAO SEXUAL,ago 2024,2
IMPORTUNACAO SEXUAL,set 2024,2
IMPORTUNACAO SEXUAL,dez 2024,1
IMPORTUNACAO SEXUAL,fev 2025,1
IMPORTUNACAO SEXUAL,mar 2025,2
IMPORTUNACAO SEXUAL,mai 2025,1
IMPORTUNACAO SEXUAL,jul 2025,1
IMPORTUNACAO SEXUAL,ago 2025,1
IMPORTUNACAO SEXUAL,set 2025,1
IMPORTUNACAO SEXUAL,out 2025,1
IMPORTUNACAO SEXUAL,nov 2025,1
IMPORTUNACAO SEXUAL,dez 2025,1
IMPORTUNACAO SEXUAL,mar 2026,4
IMPORTUNACAO SEXUAL,mai 2026,2
INCENDIO CULPOSO,out 2024,1
INCENDIO CULPOSO,dez 2024,1
INCENDIO CULPOSO,jan 2025,1
INCENDIO CULPOSO,mar 2025,2
INCENDIO CULPOSO,abr 2025,1
INCENDIO CULPOSO,jun 2025,1
INCENDIO CULPOSO,nov 2025,1
INCENDIO DOLOSO,mai 2025,1
INJURIA,jan 2024,2
INJURIA,fev 2024,3
INJURIA,mar 2024,4
INJURIA,abr 2024,8
INJURIA,mai 2024,1
INJURIA,jun 2024,5
INJURIA,jul 2024,3
INJURIA,ago 2024,7
INJURIA,set 2024,9
INJURIA,out 2024,2
INJURIA,nov 2024,4
INJURIA,dez 2024,4
INJURIA,jan 2025,8
INJURIA,fev 2025,1
INJURIA,mar 2025,6
INJURIA,abr 2025,5
INJURIA,mai 2025,6
INJURIA,jun 2025,2
INJURIA,jul 2025,2
INJURIA,ago 2025,4
INJURIA,set 2025,4
INJURIA,out 2025,4
INJURIA,nov 2025,3
INJURIA,dez 2025,3
INJURIA,jan 2026,4
INJURIA,fev 2026,3
INJURIA,mar 2026,3
INJURIA,abr 2026,9
INJURIA,mai 2026,3
INJURIA DISCRIMINATORIA,fev 2024,1
INJURIA DISCRIMINATORIA,nov 2024,1
INJURIA DISCRIMINATORIA,jan 2025,1
INJURIA DISCRIMINATORIA,mar 2025,1
INJURIA DISCRIMINATORIA,abr 2025,1
INJURIA DISCRIMINATORIA,mai 2025,1
INJURIA DISCRIMINATORIA,ago 2025,1
INJURIA DISCRIMINATORIA,set 2025,1
INJURIA DISCRIMINATORIA,dez 2025,1
INJURIA DISCRIMINATORIA,jan 2026,1
INJURIA DISCRIMINATORIA,fev 2026,1
INJURIA DISCRIMINATORIA,mar 2026,1
INJURIA DISCRIMINATORIA,mai 2026,1
INJURIA QUALIFICADA  RACA COR ETNIA RELIGIAO OU ORIGEM,abr 2025,1
INTIMIDACAO  BULLYING,abr 2024,1
INTIMIDACAO  BULLYING,ago 2024,1
INTIMIDACAO  BULLYING,set 2024,1
INTIMIDACAO  BULLYING,nov 2024,1
INTIMIDACAO  BULLYING,mar 2025,1
INTIMIDACAO  BULLYING,jul 2025,1
INTIMIDACAO  BULLYING,out 2025,1
INTIMIDACAO  BULLYING,nov 2025,1
INTIMIDACAO  BULLYING,abr 2026,1
INVASAO DE DISPOSITIVO INFORMATICO,jan 2024,2
INVASAO DE DISPOSITIVO INFORMATICO,fev 2024,1
INVASAO DE DISPOSITIVO INFORMATICO,mar 2024,2
INVASAO DE DISPOSITIVO INFORMATICO,jul 2024,1
INVASAO DE DISPOSITIVO INFORMATICO,ago 2024,1
INVASAO DE DISPOSITIVO INFORMATICO,set 2024,3
INVASAO DE DISPOSITIVO INFORMATICO,out 2024,1
INVASAO DE DISPOSITIVO INFORMATICO,dez 2024,1
INVASAO DE DISPOSITIVO INFORMATICO,jan 2025,2
INVASAO DE DISPOSITIVO INFORMATICO,fev 2025,1
INVASAO DE DISPOSITIVO INFORMATICO,mar 2025,3
INVASAO DE DISPOSITIVO INFORMATICO,mai 2025,2
INVASAO DE DISPOSITIVO INFORMATICO,jun 2025,3
INVASAO DE DISPOSITIVO INFORMATICO,ago 2025,3
INVASAO DE DISPOSITIVO INFORMATICO,set 2025,2
INVASAO DE DISPOSITIVO INFORMATICO,out 2025,2
INVASAO DE DISPOSITIVO INFORMATICO,nov 2025,2
INVASAO DE DISPOSITIVO INFORMATICO,dez 2025,1
INVASAO DE DISPOSITIVO INFORMATICO,fev 2026,1
INVASAO DE DISPOSITIVO INFORMATICO,abr 2026,1
JOGOS DE AZAR,mar 2024,1
JOGOS DE AZAR,ago 2024,1
JOGOS DE AZAR,jul 2025,1
JOGOS DE AZAR,fev 2026,2
LESAO CORPORAL,jan 2024,9
LESAO CORPORAL,fev 2024,6
LESAO CORPORAL,mar 2024,8
LESAO CORPORAL,abr 2024,7
LESAO CORPORAL,mai 2024,8
LESAO CORPORAL,jun 2024,5
LESAO CORPORAL,jul 2024,5
LESAO CORPORAL,ago 2024,8
LESAO CORPORAL,set 2024,7
LESAO CORPORAL,out 2024,8
LESAO CORPORAL,nov 2024,8
LESAO CORPORAL,dez 2024,7
LESAO CORPORAL,jan 2025,7
LESAO CORPORAL,fev 2025,6
LESAO CORPORAL,mar 2025,14
LESAO CORPORAL,abr 2025,9
LESAO CORPORAL,mai 2025,6
LESAO CORPORAL,jun 2025,10
LESAO CORPORAL,jul 2025,6
LESAO CORPORAL,ago 2025,8
LESAO CORPORAL,set 2025,4
LESAO CORPORAL,out 2025,9
LESAO CORPORAL,nov 2025,10
LESAO CORPORAL,dez 2025,8
LESAO CORPORAL,jan 2026,12
LESAO CORPORAL,fev 2026,8
LESAO CORPORAL,mar 2026,7
LESAO CORPORAL,abr 2026,3
LESAO CORPORAL,mai 2026,1
LESAO CORPORAL CULPOSA,ago 2024,1
LESAO CORPORAL CULPOSA,nov 2024,1
LESAO CORPORAL CULPOSA,dez 2024,1
LESAO CORPORAL CULPOSA,mai 2025,1
LESAO CORPORAL CULPOSA,ago 2025,1
LESAO CORPORAL CULPOSA,set 2025,1
LESAO CORPORAL CULPOSA,abr 2026,1
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,jan 2024,4
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,fev 2024,4
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,mar 2024,7
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,abr 2024,6
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,mai 2024,7
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,jun 2024,2
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,jul 2024,9
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,ago 2024,3
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,set 2024,9
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,out 2024,10
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,nov 2024,9
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,dez 2024,8
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,jan 2025,8
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,fev 2025,4
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,mar 2025,8
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,abr 2025,10
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,mai 2025,8
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,jun 2025,10
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,jul 2025,8
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,ago 2025,6
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,set 2025,8
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,out 2025,11
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,nov 2025,7
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,dez 2025,8
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,jan 2026,6
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,fev 2026,5
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,mar 2026,4
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,abr 2026,7
LESAO CORPORAL CULPOSA DIRECAO VEIC AUTOMOTOR,mai 2026,5
LESAO CORPORAL GRAVE,out 2024,1
LESAO CORPORAL GRAVE,dez 2025,1
LESAO CORPORAL LEVE,set 2024,1
LESAO CORPORAL LEVE,out 2024,1
LESAO CORPORAL LEVE,nov 2024,1
LESAO CORPORAL LEVE,dez 2024,1
LESAO CORPORAL LEVE,jan 2025,1
LESAO CORPORAL LEVE,abr 2025,1
LESAO CORPORAL LEVE,jan 2026,1
LESAO CORPORAL LEVE,mai 2026,1
LESAO CORPORAL SEGUIDA DE MORTE,dez 2024,1
MAUS TRATOS,mai 2024,1
MAUS TRATOS,dez 2024,1
MAUS TRATOS,jan 2025,1
MAUS TRATOS,fev 2025,1
MAUS TRATOS,mar 2025,1
MAUS TRATOS,abr 2025,1
MAUS TRATOS,set 2025,5
MAUS TRATOS,out 2025,1
MAUS TRATOS,jan 2026,1
MAUS TRATOS,mar 2026,1
MAUS TRATOS,abr 2026,2
